freq: 3 c: 1 calcSize 50 gridSize 400, energy
3.333,4.26792e-06
9.999,4.20989e-06
16.665,4.30404e-06
23.331,4.36395e-06
29.997,4.36093e-06
36.663,4.32433e-06
43.329,4.29999e-06
49.995,4.30765e-06
56.661,4.33084e-06
63.327,4.34185e-06
69.993,4.33156e-06
76.659,4.3143e-06
83.325,4.30903e-06
89.991,4.31886e-06
96.657,4.33026e-06
103.323,4.33002e-06
109.989,4.31931e-06
116.655,4.3102e-06
123.321,4.31163e-06
129.987,4.31988e-06
136.653,4.32403e-06
143.319,4.31901e-06
149.985,4.31023e-06
156.651,4.3066e-06
163.317,4.31041e-06
169.983,4.31537e-06
176.649,4.31448e-06
183.315,4.30795e-06
189.981,4.302e-06
196.647,4.30171e-06
203.313,4.30524e-06
209.979,4.3067e-06
216.645,4.30289e-06
223.311,4.29672e-06
229.977,4.29341e-06
236.643,4.29446e-06
243.309,4.29631e-06
249.975,4.29475e-06
256.641,4.28971e-06
263.307,4.28495e-06
269.973,4.28352e-06
276.639,4.28437e-06
283.305,4.28398e-06
289.971,4.2804e-06
296.637,4.27546e-06
303.303,4.27222e-06
309.969,4.27154e-06
316.635,4.27121e-06
323.301,4.26877e-06
329.967,4.26435e-06
