freq: 3 c: 1 calcSize 100 gridSize 400, energy
0.01,0.957065
0.03,0.954767
0.05,0.951765
0.07,0.94819
0.09,0.944063
0.11,0.9394
0.13,0.934215
0.15,0.928521
0.17,0.922333
0.19,0.915667
0.21,0.908539
0.23,0.900965
0.25,0.892965
0.27,0.884556
0.29,0.875757
0.31,0.866589
0.33,0.857072
0.35,0.847226
0.37,0.837074
0.39,0.826636
0.41,0.815936
0.43,0.804995
0.45,0.793837
0.47,0.782483
0.49,0.770958
0.51,0.759284
0.53,0.747484
0.55,0.735581
0.57,0.723598
0.59,0.711558
0.61,0.699483
0.63,0.687395
0.65,0.675317
0.67,0.66327
0.69,0.651274
0.71,0.639352
0.73,0.627522
0.75,0.615805
0.77,0.604219
0.79,0.592783
0.81,0.581515
0.83,0.570432
0.85,0.559549
0.87,0.548883
0.89,0.538448
0.91,0.528258
0.93,0.518326
0.95,0.508665
0.97,0.499286
0.99,0.490199
1.01,0.481414
1.03,0.47294
1.05,0.464785
1.07,0.456954
1.09,0.449456
1.11,0.442293
1.13,0.435472
1.15,0.428994
1.17,0.422862
1.19,0.417078
1.21,0.411642
1.23,0.406555
1.25,0.401814
1.27,0.397419
1.29,0.393366
1.31,0.389652
1.33,0.386273
1.35,0.383224
1.37,0.380499
1.39,0.378092
1.41,0.375997
1.43,0.374206
1.45,0.37271
1.47,0.371501
1.49,0.37057
1.51,0.369909
1.53,0.369505
1.55,0.369351
1.57,0.369434
1.59,0.369743
1.61,0.370269
1.63,0.370998
1.65,0.37192
1.67,0.373023
1.69,0.374294
1.71,0.375722
1.73,0.377295
1.75,0.379
1.77,0.380826
1.79,0.38276
1.81,0.38479
1.83,0.386906
1.85,0.389094
1.87,0.391345
1.89,0.393645
1.91,0.395985
1.93,0.398354
1.95,0.40074
1.97,0.403135
1.99,0.405528
