freq: 3 c: 1 calcSize 100 gridSize 800, energy
0.1,0.0023777
0.3,0.00223822
0.5,0.00198984
0.7,0.0016821
0.9,0.00137338
1.1,0.00111746
1.3,0.00095178
1.5,0.000890359
1.7,0.000922913
1.9,0.00102003
2.1,0.00114257
2.3,0.00125257
2.5,0.00132257
2.7,0.0013411
2.9,0.0013132
3.1,0.00125634
3.3,0.00119347
3.5,0.0011454
3.7,0.00112488
3.9,0.00113382
4.1,0.00116426
4.3,0.0012022
4.5,0.00123301
4.7,0.00124628
4.9,0.00123889
5.1,0.00121531
5.3,0.00118537
5.5,0.00116043
5.7,0.00114934
5.9,0.00115557
6.1,0.00117633
6.3,0.00120391
6.5,0.00122856
6.7,0.00124193
6.9,0.00123984
7.1,0.00122346
7.3,0.00119872
7.5,0.00117404
7.7,0.00115747
7.9,0.00115397
8.1,0.00116396
8.3,0.00118339
8.5,0.00120531
8.7,0.00122235
8.9,0.00122914
9.1,0.00122406
9.3,0.00120951
9.5,0.00119091
9.7,0.00117473
9.9,0.00116623
10.1,0.00116777
10.3,0.00117816
10.5,0.00119326
10.7,0.00120753
10.9,0.00121599
11.1,0.00121591
11.3,0.00120764
11.5,0.00119436
11.7,0.00118082
11.9,0.00117171
12.1,0.00116999
12.3,0.00117593
12.5,0.00118717
12.7,0.00119957
12.9,0.00120871
13.1,0.00121144
13.3,0.00120693
13.5,0.00119683
13.7,0.0011847
13.9,0.00117466
14.1,0.00117003
14.3,0.00117214
14.5,0.00118
14.7,0.00119068
14.9,0.00120037
15.1,0.00120572
15.3,0.00120495
15.5,0.00119844
15.7,0.00118848
15.9,0.00117849
16.1,0.00117177
16.3,0.0011704
16.5,0.00117455
16.7,0.00118252
16.9,0.00119134
17.1,0.00119786
17.3,0.00119983
17.5,0.00119663
17.7,0.00118944
17.9,0.00118078
18.1,0.00117359
18.3,0.0011702
18.5,0.00117156
18.7,0.00117694
18.9,0.00118424
19.1,0.00119073
19.3,0.00119407
19.5,0.00119302
19.7,0.00118795
19.9,0.00118057
